 ,Area,Mean,Min,Max
1,5.444E-4,255,255,255
2,3.333E-5,255,255,255
3,0.001,255,255,255
4,5.556E-5,255,255,255
5,1.222E-4,255,255,255
6,8.333E-4,255,255,255
7,2.222E-5,255,255,255
8,2.333E-4,255,255,255
9,8.889E-5,255,255,255
10,6.667E-5,255,255,255
11,2.333E-4,255,255,255
12,8.889E-5,255,255,255
13,0.002,255,255,255
14,2.222E-5,255,255,255
15,1.556E-4,255,255,255
16,1.444E-4,255,255,255
17,1.111E-5,255,255,255
18,1.778E-4,255,255,255
19,3.333E-5,255,255,255
20,2.222E-5,255,255,255
21,2.000E-4,255,255,255
22,8.889E-5,255,255,255
23,8.889E-5,255,255,255
24,2.222E-4,255,255,255
25,3.222E-4,255,255,255
26,2.222E-5,255,255,255
27,0.003,255,255,255
28,4.444E-5,255,255,255
29,3.333E-5,255,255,255
30,1.111E-5,255,255,255
31,4.444E-5,255,255,255
32,1.111E-5,255,255,255
33,2.222E-5,255,255,255
34,0.003,255,255,255
35,6.333E-4,255,255,255
36,1.222E-4,255,255,255
37,3.333E-5,255,255,255
38,8.889E-5,255,255,255
39,7.778E-5,255,255,255
40,0.001,255,255,255
41,1.444E-4,255,255,255
42,3.556E-4,255,255,255
43,1.000E-4,255,255,255
44,1.111E-4,255,255,255
45,1.556E-4,255,255,255
46,1.667E-4,255,255,255
47,5.556E-5,255,255,255
48,1.556E-4,255,255,255
49,1.000E-4,255,255,255
50,1.333E-4,255,255,255
51,1.556E-4,255,255,255
52,0.002,255,255,255
53,1.889E-4,255,255,255
54,1.111E-5,255,255,255
55,3.333E-5,255,255,255
56,1.111E-5,255,255,255
57,7.778E-5,255,255,255
58,5.556E-5,255,255,255
59,0.002,255,255,255
60,2.222E-5,255,255,255
61,1.111E-5,255,255,255
62,0.001,255,255,255
63,5.556E-5,255,255,255
64,3.333E-5,255,255,255
65,4.444E-5,255,255,255
66,7.000E-4,255,255,255
67,3.556E-4,255,255,255
68,5.556E-5,255,255,255
69,2.222E-5,255,255,255
70,7.778E-5,255,255,255
71,1.556E-4,255,255,255
72,2.222E-5,255,255,255
73,0.002,255,255,255
74,1.444E-4,255,255,255
75,8.889E-5,255,255,255
76,0.002,255,255,255
77,1.333E-4,255,255,255
78,0.002,255,255,255
79,7.778E-5,255,255,255
80,1.111E-5,255,255,255
81,8.889E-5,255,255,255
82,1.000E-4,255,255,255
83,0.001,255,255,255
84,8.889E-5,255,255,255
85,3.333E-4,255,255,255
86,0.002,255,255,255
87,1.222E-4,255,255,255
88,1.444E-4,255,255,255
89,1.444E-4,255,255,255
90,1.667E-4,255,255,255
91,0.003,255,255,255
92,1.111E-5,255,255,255
93,2.444E-4,255,255,255
94,0.001,255,255,255
95,5.556E-5,255,255,255
96,3.333E-5,255,255,255
97,6.667E-5,255,255,255
98,3.111E-4,255,255,255
99,4.444E-5,255,255,255
100,1.556E-4,255,255,255
101,5.556E-5,255,255,255
102,1.667E-4,255,255,255
103,1.444E-4,255,255,255
104,0.003,255,255,255
105,1.778E-4,255,255,255
106,0.001,255,255,255
107,0.002,255,255,255
108,1.111E-5,255,255,255
109,1.444E-4,255,255,255
110,1.333E-4,255,255,255
111,2.000E-4,255,255,255
112,0.001,255,255,255
113,1.778E-4,255,255,255
114,3.333E-5,255,255,255
115,1.111E-5,255,255,255
116,2.222E-5,255,255,255
117,1.556E-4,255,255,255
118,1.444E-4,255,255,255
119,6.667E-5,255,255,255
120,4.444E-5,255,255,255
121,8.000E-4,255,255,255
122,1.000E-4,255,255,255
123,6.667E-5,255,255,255
124,1.222E-4,255,255,255
125,2.222E-5,255,255,255
126,1.111E-5,255,255,255
127,2.667E-4,255,255,255
128,7.778E-5,255,255,255
129,0.002,255,255,255
130,0.002,255,255,255
131,1.111E-5,255,255,255
132,9.778E-4,255,255,255
133,0.002,255,255,255
134,0.001,255,255,255
135,0.002,255,255,255
136,1.111E-4,255,255,255
137,0.002,255,255,255
138,0.002,255,255,255
139,2.667E-4,255,255,255
140,0.002,255,255,255
141,1.000E-4,255,255,255
142,1.000E-4,255,255,255
143,6.667E-5,255,255,255
144,1.556E-4,255,255,255
145,1.556E-4,255,255,255
146,6.667E-5,255,255,255
147,0.002,255,255,255
148,7.778E-5,255,255,255
149,1.556E-4,255,255,255
150,1.111E-5,255,255,255
151,7.778E-5,255,255,255
152,1.667E-4,255,255,255
153,8.889E-5,255,255,255
154,3.000E-4,255,255,255
155,1.333E-4,255,255,255
156,2.000E-4,255,255,255
157,3.778E-4,255,255,255
158,2.222E-4,255,255,255
159,0.002,255,255,255
160,6.667E-5,255,255,255
161,1.444E-4,255,255,255
162,0.001,255,255,255
163,5.556E-5,255,255,255
164,1.333E-4,255,255,255
165,0.003,255,255,255
166,0.002,255,255,255
167,2.000E-4,255,255,255
168,4.444E-5,255,255,255
169,2.222E-4,255,255,255
170,2.222E-5,255,255,255
171,2.444E-4,255,255,255
172,3.333E-5,255,255,255
173,0.002,255,255,255
174,6.667E-5,255,255,255
175,0.002,255,255,255
