 ,Area,Mean,Min,Max
1,1.222E-4,255,255,255
2,1.111E-5,255,255,255
3,4.444E-5,255,255,255
4,8.889E-5,255,255,255
5,1.444E-4,255,255,255
6,3.889E-4,255,255,255
7,0.001,255,255,255
8,2.778E-4,255,255,255
9,7.889E-4,255,255,255
10,8.667E-4,255,255,255
11,2.000E-4,255,255,255
12,4.444E-5,255,255,255
13,5.444E-4,255,255,255
14,2.222E-4,255,255,255
15,2.889E-4,255,255,255
16,5.111E-4,255,255,255
17,0.002,255,255,255
18,6.000E-4,255,255,255
19,2.111E-4,255,255,255
20,4.556E-4,255,255,255
21,5.556E-4,255,255,255
22,4.333E-4,255,255,255
23,1.000E-4,255,255,255
24,4.889E-4,255,255,255
25,4.889E-4,255,255,255
26,4.778E-4,255,255,255
27,4.667E-4,255,255,255
28,0.002,255,255,255
29,0.001,255,255,255
30,4.556E-4,255,255,255
31,4.778E-4,255,255,255
32,4.222E-4,255,255,255
33,5.222E-4,255,255,255
34,4.556E-4,255,255,255
35,5.667E-4,255,255,255
36,2.222E-5,255,255,255
37,5.111E-4,255,255,255
38,1.111E-5,255,255,255
39,9.556E-4,255,255,255
40,8.889E-5,255,255,255
41,5.556E-4,255,255,255
42,2.778E-4,255,255,255
43,3.333E-5,255,255,255
44,4.556E-4,255,255,255
45,2.222E-5,255,255,255
46,9.111E-4,255,255,255
47,4.556E-4,255,255,255
48,7.778E-5,255,255,255
49,5.333E-4,255,255,255
50,0.001,255,255,255
51,4.333E-4,255,255,255
52,1.222E-4,255,255,255
53,1.111E-5,255,255,255
54,4.889E-4,255,255,255
55,5.556E-5,255,255,255
56,5.667E-4,255,255,255
57,5.333E-4,255,255,255
58,2.556E-4,255,255,255
59,1.111E-5,255,255,255
60,6.444E-4,255,255,255
61,6.111E-4,255,255,255
62,6.000E-4,255,255,255
63,5.000E-4,255,255,255
64,2.222E-5,255,255,255
65,5.222E-4,255,255,255
66,9.000E-4,255,255,255
67,1.111E-5,255,255,255
68,7.889E-4,255,255,255
69,1.111E-4,255,255,255
70,0.001,255,255,255
71,3.889E-4,255,255,255
72,6.556E-4,255,255,255
73,2.222E-4,255,255,255
74,1.111E-5,255,255,255
75,2.333E-4,255,255,255
76,4.111E-4,255,255,255
77,1.111E-5,255,255,255
78,4.444E-4,255,255,255
79,8.889E-5,255,255,255
80,4.111E-4,255,255,255
81,2.333E-4,255,255,255
82,4.556E-4,255,255,255
83,4.778E-4,255,255,255
84,7.667E-4,255,255,255
85,5.222E-4,255,255,255
86,7.778E-5,255,255,255
87,8.778E-4,255,255,255
88,5.778E-4,255,255,255
89,4.556E-4,255,255,255
90,8.889E-4,255,255,255
91,6.667E-5,255,255,255
92,2.111E-4,255,255,255
93,5.333E-4,255,255,255
94,5.222E-4,255,255,255
95,6.667E-4,255,255,255
96,2.333E-4,255,255,255
97,8.889E-5,255,255,255
98,2.889E-4,255,255,255
99,7.556E-4,255,255,255
100,6.111E-4,255,255,255
101,2.444E-4,255,255,255
102,3.889E-4,255,255,255
103,8.889E-5,255,255,255
104,7.333E-4,255,255,255
105,5.111E-4,255,255,255
106,2.222E-5,255,255,255
107,4.000E-4,255,255,255
108,2.667E-4,255,255,255
109,2.111E-4,255,255,255
110,5.556E-5,255,255,255
111,2.000E-4,255,255,255
112,4.444E-5,255,255,255
113,5.444E-4,255,255,255
114,5.222E-4,255,255,255
115,6.778E-4,255,255,255
116,7.222E-4,255,255,255
117,3.222E-4,255,255,255
118,8.556E-4,255,255,255
119,0.002,255,255,255
120,8.111E-4,255,255,255
121,4.222E-4,255,255,255
122,3.111E-4,255,255,255
123,6.222E-4,255,255,255
124,4.333E-4,255,255,255
125,5.222E-4,255,255,255
126,7.556E-4,255,255,255
127,3.889E-4,255,255,255
128,3.667E-4,255,255,255
129,4.444E-4,255,255,255
130,6.111E-4,255,255,255
131,2.667E-4,255,255,255
132,7.111E-4,255,255,255
133,6.667E-5,255,255,255
134,2.111E-4,255,255,255
135,2.778E-4,255,255,255
136,5.111E-4,255,255,255
137,4.667E-4,255,255,255
138,4.000E-4,255,255,255
139,5.222E-4,255,255,255
140,3.889E-4,255,255,255
141,4.333E-4,255,255,255
142,0.001,255,255,255
143,5.333E-4,255,255,255
144,4.778E-4,255,255,255
145,9.556E-4,255,255,255
146,5.556E-5,255,255,255
147,4.444E-4,255,255,255
148,0.001,255,255,255
149,2.333E-4,255,255,255
150,4.111E-4,255,255,255
151,4.333E-4,255,255,255
152,5.889E-4,255,255,255
153,1.111E-5,255,255,255
154,2.444E-4,255,255,255
155,5.333E-4,255,255,255
156,0.001,255,255,255
157,1.111E-4,255,255,255
158,5.667E-4,255,255,255
159,5.333E-4,255,255,255
160,5.333E-4,255,255,255
161,3.111E-4,255,255,255
162,5.222E-4,255,255,255
163,3.778E-4,255,255,255
164,4.778E-4,255,255,255
165,7.444E-4,255,255,255
166,8.444E-4,255,255,255
167,1.444E-4,255,255,255
168,8.778E-4,255,255,255
169,0.001,255,255,255
170,5.444E-4,255,255,255
171,4.444E-4,255,255,255
172,3.333E-5,255,255,255
173,7.556E-4,255,255,255
174,4.222E-4,255,255,255
175,9.889E-4,255,255,255
176,9.556E-4,255,255,255
177,2.889E-4,255,255,255
178,0.001,255,255,255
179,9.333E-4,255,255,255
180,7.667E-4,255,255,255
181,4.111E-4,255,255,255
182,5.333E-4,255,255,255
183,4.667E-4,255,255,255
184,2.889E-4,255,255,255
185,4.556E-4,255,255,255
186,5.222E-4,255,255,255
187,2.000E-4,255,255,255
188,3.889E-4,255,255,255
189,8.222E-4,255,255,255
190,9.556E-4,255,255,255
191,0.001,255,255,255
192,5.889E-4,255,255,255
193,3.333E-5,255,255,255
194,6.556E-4,255,255,255
195,5.667E-4,255,255,255
196,1.778E-4,255,255,255
197,5.778E-4,255,255,255
198,0.001,255,255,255
199,3.111E-4,255,255,255
200,5.333E-4,255,255,255
201,5.667E-4,255,255,255
202,9.333E-4,255,255,255
203,4.889E-4,255,255,255
204,3.333E-5,255,255,255
205,3.333E-4,255,255,255
206,7.889E-4,255,255,255
207,1.222E-4,255,255,255
208,4.778E-4,255,255,255
209,3.778E-4,255,255,255
210,3.556E-4,255,255,255
211,7.000E-4,255,255,255
212,5.000E-4,255,255,255
213,0.001,255,255,255
